id	bet_amount	bet_id	brand	channel_type	game_id	game_name	game_provider	game_status_id	game_type	jackpot_contribution	jackpot_details	jackpot_payout	jackpot_type	kiosk_terminal	machine_id	outlet_id	payout_amount	platform_code	platform_name	player_id	prematch_live	refund_amount	round_id	seed_contri_amount	settlement_time	site	sport	status	ticket_status	time_of_bet	createdAt	updatedAt	timestamp	transaction_id
1	5.00	yb_538ee4611b9b603218a0c0c91fd2e5a6f24d	YB	ONLINE	1042	ROYAL HUNTER	YellowBat	1	SPIN	NULL	0.0000	NULL	NULL	NULL	NULL	PJS-001	0.00	16	egames	252c4838-970a-386f-79b9-b7619a7f2240	live	0.00	bd4f932a3d2c	NULL	2025-04-02 00:00:00	ArionPlayGCash	NULL	COMPLETED	COMPLETED	2025-04-02 00:00:00	NULL	NULL	2025-04-01 18:30:00	yb_1821538877
2	5.00	yb_724a762ce22147622fbbf4e3e826a5665513	YB	ONLINE	1041	CRAZY MONEY	YellowBat	1	SPIN	NULL	0.0000	NULL	NULL	NULL	NULL	PJS-001	0.00	16	egames	807b9be2-10ec-6018-b61f-32498bd5abab	live	0.00	622a4af8f700	NULL	2025-04-02 00:00:00	ArionPlayMaya	NULL	COMPLETED	COMPLETED	2025-04-02 00:00:00	NULL	NULL	2025-04-01 18:30:00	yb_1821539161
3	1.00	yb_e8b20e8aee773473e8cb7e2ff4255e52c8b4	YB	ONLINE	1003	FortuneTreasure	YellowBat	1	SPIN	NULL	0.0000	NULL	NULL	NULL	NULL	PJS-001	0.40	16	egames	713a270f-03b3-d163-45e1-73e10cd5f7f9	live	0.00	08e48cb478fc	NULL	2025-04-02 00:00:01	ArionPlayGCash	NULL	COMPLETED	COMPLETED	2025-04-02 00:00:01	NULL	NULL	2025-04-01 18:30:01	yb_1821539410
4	1.00	yb_472d877a649a8dda00798eb6daa1484bfd89	YB	ONLINE	1032	ROYAL ACE	YellowBat	1	SPIN	NULL	0.0000	NULL	NULL	NULL	NULL	PJS-001	0.00	16	egames	99199bec-316c-1242-7344-1e099f3ddf6e	live	0.00	19e5768b59cc	NULL	2025-04-02 00:00:01	ArionPlayGCash	NULL	COMPLETED	COMPLETED	2025-04-02 00:00:01	NULL	NULL	2025-04-01 18:30:01	yb_1821539551
5	3.00	yb_8d7776f6eb5dc3b98bfe82fff13e766df467	YB	ONLINE	1046	DRAGON GEMS	YellowBat	1	SPIN	NULL	0.0000	NULL	NULL	NULL	NULL	PJS-001	0.00	16	egames	49d92a95-b310-b3c3-71b7-bef0d5756863	live	0.00	309c9ba2f73a	NULL	2025-04-02 00:00:01	ArionPlayGCash	NULL	COMPLETED	COMPLETED	2025-04-02 00:00:01	NULL	NULL	2025-04-01 18:30:01	yb_1821539435
6	5.00	yb_938315f595709bbdb89661e4ec7c1c2b5778	YB	ONLINE	1041	CRAZY MONEY	YellowBat	1	SPIN	NULL	0.0000	NULL	NULL	NULL	NULL	PJS-001	0.00	16	egames	a7a9a078-dc26-715c-05f1-351620571e2e	live	0.00	e7321589ee03	NULL	2025-04-02 00:00:05	ArionPlayMaya	NULL	COMPLETED	COMPLETED	2025-04-02 00:00:05	NULL	NULL	2025-04-01 18:30:05	yb_1821540993
7	6.00	yb_c52bdb26cd4ba72512f34e05da76edb3901b	YB	ONLINE	1046	DRAGON GEMS	YellowBat	1	SPIN	NULL	0.0000	NULL	NULL	NULL	NULL	PJS-001	0.00	16	egames	bae9e01a-a8a8-399b-8bb0-1c6f13545cc2	live	0.00	0c58e59c6d73	NULL	2025-04-02 00:00:06	ArionPlayMaya	NULL	COMPLETED	COMPLETED	2025-04-02 00:00:06	NULL	NULL	2025-04-01 18:30:06	yb_1821541143
8	1.00	yb_9a045f448ce16b9df3e9a3ef4517f7faa3b5	YB	ONLINE	1041	CRAZY MONEY	YellowBat	1	SPIN	NULL	0.0000	NULL	NULL	NULL	NULL	PJS-001	0.00	16	egames	72473dd9-55b7-aa8d-6aff-bc94978fadcb	live	0.00	61d56821ba12	NULL	2025-04-02 00:00:07	ArionPlayGCash	NULL	COMPLETED	COMPLETED	2025-04-02 00:00:07	NULL	NULL	2025-04-01 18:30:07	yb_1821541416
9	5.00	yb_ef9d3abe7ec5a1c46d4272b9f916aaeb1eba	YB	ONLINE	1041	CRAZY MONEY	YellowBat	1	SPIN	NULL	0.0000	NULL	NULL	NULL	NULL	PJS-001	50.00	16	egames	1fe970ce-df9e-1c8b-208d-0821f207ea49	live	0.00	0ce7bca83248	NULL	2025-04-02 00:00:08	ArionPlayGCash	NULL	COMPLETED	COMPLETED	2025-04-02 00:00:08	NULL	NULL	2025-04-01 18:30:08	yb_1821541857
10	3.00	yb_e3fa87ea1575bec97e8d5e90f61affb34ca4	YB	ONLINE	1046	DRAGON GEMS	YellowBat	1	SPIN	NULL	0.0000	NULL	NULL	NULL	NULL	PJS-001	0.00	16	egames	62cbdc2a-8eed-bed8-1710-8e6805067257	live	0.00	b27092b86b94	NULL	2025-04-02 00:00:08	ArionPlayGCash	NULL	COMPLETED	COMPLETED	2025-04-02 00:00:08	NULL	NULL	2025-04-01 18:30:08	yb_1821542071
